Timestamp,Channel 1,Channel 2,Channel 3,Channel 4
2024-01-02 16:53:40,2112,1920,384,1968
2024-01-02 16:53:40,2208,1808,400,1840
2024-01-02 16:53:40,2224,1872,336,1952
2024-01-02 16:53:40,2096,1808,416,2000
2024-01-02 16:53:40,2080,1904,368,1968
2024-01-02 16:53:40,2112,1952,416,1984
2024-01-02 16:53:40,2048,1872,352,1984
2024-01-02 16:53:40,2032,1968,416,2032
2024-01-02 16:53:40,1952,1952,224,2080
2024-01-02 16:53:40,2096,1984,288,2064
2024-01-02 16:53:40,1920,1888,432,1792
2024-01-02 16:53:40,1936,1920,304,2144
2024-01-02 16:53:40,1888,2000,336,1824
2024-01-02 16:53:40,1856,1920,352,1904
2024-01-02 16:53:40,1904,2032,448,1936
2024-01-02 16:53:40,1856,1920,400,1936
2024-01-02 16:53:40,1952,2032,464,2064
2024-01-02 16:53:40,1888,2080,320,2128
2024-01-02 16:53:40,1968,2192,320,2160
2024-01-02 16:53:40,1904,2016,368,2096
2024-01-02 16:53:40,1984,2000,304,1920
2024-01-02 16:53:40,2016,2016,368,1936
2024-01-02 16:53:40,1968,1792,320,1744
2024-01-02 16:53:40,2064,2048,368,2096
2024-01-02 16:53:40,2016,2000,384,1984
2024-01-02 16:53:40,2080,2000,368,2128
2024-01-02 16:53:40,2032,1904,240,2000
2024-01-02 16:53:40,2112,2144,176,1776
2024-01-02 16:53:40,2208,2160,288,1968
2024-01-02 16:53:40,2256,2272,336,2048
2024-01-02 16:53:40,2112,2080,464,2224
2024-01-02 16:53:40,2000,1968,576,2192
2024-01-02 16:53:40,2112,2288,576,2480
2024-01-02 16:53:40,2160,2432,240,2064
2024-01-02 16:53:40,2320,2512,384,2208
2024-01-02 16:53:40,2176,2256,288,2016
2024-01-02 16:53:40,2064,2032,320,2160
2024-01-02 16:53:41,1920,1952,384,2160
2024-01-02 16:53:41,1760,1824,288,2192
2024-01-02 16:53:41,1808,1824,288,2320
2024-01-02 16:53:41,1760,1776,320,2000
2024-01-02 16:53:41,1808,1872,256,2176
2024-01-02 16:53:41,1872,1696,384,1920
2024-01-02 16:53:41,1936,1808,352,1824
2024-01-02 16:53:41,1904,1712,384,1808
2024-01-02 16:53:41,1840,1808,304,1936
2024-01-02 16:53:41,1952,1904,480,1808
2024-01-02 16:53:41,1824,2000,288,1872
2024-01-02 16:53:41,2112,2192,352,2032
2024-01-02 16:53:41,2016,2048,368,2048
2024-01-02 16:53:41,2128,2032,352,1904
2024-01-02 16:53:41,2032,1776,400,2592
2024-01-02 16:53:41,2096,1824,480,2112
2024-01-02 16:53:41,2144,1856,320,2208
2024-01-02 16:53:41,2128,1904,448,2032
2024-01-02 16:53:41,2112,1824,320,2080
2024-01-02 16:53:41,2128,1776,304,2000
2024-01-02 16:53:41,1936,1840,352,1632
2024-01-02 16:53:41,2064,1952,400,2272
2024-01-02 16:53:41,2064,1968,384,1728
2024-01-02 16:53:41,2064,2144,288,1952
2024-01-02 16:53:41,2096,2000,400,1984
2024-01-02 16:53:41,2080,2048,304,1824
2024-01-02 16:53:41,2016,2160,464,1984
2024-01-02 16:53:41,2048,1856,304,1792
2024-01-02 16:53:41,2000,2096,224,2176
2024-01-02 16:53:41,2016,1952,416,2160
2024-01-02 16:53:41,1968,2000,272,1984
2024-01-02 16:53:41,1968,2048,432,2032
2024-01-02 16:53:41,1856,1872,272,1952
2024-01-02 16:53:41,2016,2160,464,1904
2024-01-02 16:53:41,1920,2048,464,2112
2024-01-02 16:53:41,1872,2000,384,1888
2024-01-02 16:53:41,1824,1952,448,2016
2024-01-02 16:53:41,1888,1776,288,1904
2024-01-02 16:53:41,2000,1904,464,1968
