Timestamp,Channel 1,Channel 2,Channel 3,Channel 4
2023-12-28 15:30:59,-64,1088,48,-1776
2023-12-28 15:30:59,64,1168,-80,-960
2023-12-28 15:30:59,112,1616,-80,-448
2023-12-28 15:30:59,96,2624,-64,96
2023-12-28 15:30:59,32,2912,80,352
2023-12-28 15:30:59,-96,3408,0,288
2023-12-28 15:30:59,-240,3984,192,368
2023-12-28 15:30:59,-352,4704,256,560
2023-12-28 15:30:59,-320,5632,288,656
2023-12-28 15:30:59,-256,6336,112,992
2023-12-28 15:30:59,-176,6304,288,1232
2023-12-28 15:30:59,-208,6288,272,1280
2023-12-28 15:30:59,-192,6304,192,1248
2023-12-28 15:30:59,-160,6176,112,1120
2023-12-28 15:30:59,-176,5760,48,768
2023-12-28 15:30:59,-160,5072,32,48
2023-12-28 15:30:59,-368,4656,-224,-848
2023-12-28 15:30:59,-448,4128,-288,-1632
2023-12-28 15:30:59,-496,3952,-256,-2304
2023-12-28 15:30:59,-544,4064,-384,-2784
2023-12-28 15:30:59,-576,3680,-320,-2864
2023-12-28 15:31:00,-608,2672,-160,-2816
2023-12-28 15:31:00,-496,768,112,-2656
2023-12-28 15:31:00,-416,-864,80,-2208
2023-12-28 15:31:00,-176,-2000,32,-1632
2023-12-28 15:31:00,-32,-2800,64,-1088
2023-12-28 15:31:00,192,-2608,80,-784
2023-12-28 15:31:00,224,-2016,32,-480
2023-12-28 15:31:00,208,-1472,32,-448
2023-12-28 15:31:00,192,-752,-96,-432
2023-12-28 15:31:00,224,-352,-96,-448
2023-12-28 15:31:00,240,192,-48,-960
2023-12-28 15:31:00,256,384,80,-1312
2023-12-28 15:31:00,224,480,80,-1584
2023-12-28 15:31:00,240,848,-32,-1728
2023-12-28 15:31:00,176,1328,-48,-1840
2023-12-28 15:31:00,-16,1776,-48,-1744
2023-12-28 15:31:00,-240,2272,-112,-1696
2023-12-28 15:31:00,-336,2144,0,-1504
2023-12-28 15:31:00,-400,2000,-64,-1472
2023-12-28 15:31:00,-416,1984,-224,-1312
2023-12-28 15:31:00,-560,1968,-336,-1216
2023-12-28 15:31:00,-528,1872,-320,-1136
