Timestamp,Channel 1,Channel 2,Channel 3,Channel 4
2024-01-02 11:01:33,-112,-560,32,-64
2024-01-02 11:01:33,-128,-400,-64,-96
2024-01-02 11:01:33,-48,-128,-32,-64
2024-01-02 11:01:33,-32,-16,-32,-80
2024-01-02 11:01:33,0,-64,16,-160
2024-01-02 11:01:33,16,96,-32,-224
2024-01-02 11:01:33,-32,480,-64,-224
2024-01-02 11:01:33,-16,208,48,-128
2024-01-02 11:01:34,0,96,-64,0
2024-01-02 11:01:34,-32,64,-32,-32
2024-01-02 11:01:34,-48,176,-16,-160
2024-01-02 11:01:34,16,240,-64,-80
2024-01-02 11:01:34,48,256,-48,-96
2024-01-02 11:01:34,80,128,-16,-128
2024-01-02 11:01:34,48,80,80,-16
2024-01-02 11:01:34,0,-16,0,-96
2024-01-02 11:01:34,-64,-208,-32,32
2024-01-02 11:01:34,-80,-208,-64,-144
2024-01-02 11:01:34,-96,16,-64,-96
2024-01-02 11:01:34,-48,192,-16,-224
2024-01-02 11:01:34,16,448,-32,-256
2024-01-02 11:01:34,32,416,0,-208
2024-01-02 11:01:34,-32,304,16,-144
2024-01-02 11:01:34,-64,208,-48,-64
2024-01-02 11:01:34,-80,32,-80,-80
2024-01-02 11:01:34,-16,-32,-32,-48
2024-01-02 11:01:34,-32,-64,-48,-128
2024-01-02 11:01:34,16,-112,0,32
2024-01-02 11:01:34,-64,32,0,64
2024-01-02 11:01:34,-192,368,64,-16
2024-01-02 11:01:34,-144,528,16,-64
2024-01-02 11:01:34,32,592,-16,-32
2024-01-02 11:01:34,16,656,-96,-96
2024-01-02 11:01:34,64,912,-32,-80
2024-01-02 11:01:34,48,624,-16,96
2024-01-02 11:01:34,208,48,48,-48
2024-01-02 11:01:34,128,-240,112,48
2024-01-02 11:01:34,96,-464,96,16
2024-01-02 11:01:34,112,-432,96,-176
2024-01-02 11:01:34,96,48,96,-128
2024-01-02 11:01:34,48,592,64,-80
2024-01-02 11:01:34,64,1408,-64,80
2024-01-02 11:01:34,112,1584,-160,176
2024-01-02 11:01:34,64,992,-224,400
2024-01-02 11:01:34,32,112,-160,400
2024-01-02 11:01:34,16,-560,-96,528
2024-01-02 11:01:34,0,-704,-96,464
2024-01-02 11:01:34,-16,-624,-48,544
2024-01-02 11:01:34,-16,-432,32,592
2024-01-02 11:01:34,0,-224,16,496
2024-01-02 11:01:34,32,16,48,352
2024-01-02 11:01:34,-16,288,32,400
2024-01-02 11:01:34,-80,384,-80,384
2024-01-02 11:01:34,16,-96,-48,304
2024-01-02 11:01:34,96,-256,-112,256
2024-01-02 11:01:34,64,-112,-48,176
2024-01-02 11:01:34,48,80,-16,336
2024-01-02 11:01:34,-16,208,16,192
2024-01-02 11:01:34,-32,224,16,288
2024-01-02 11:01:34,16,80,32,368
2024-01-02 11:01:34,96,-192,32,192
2024-01-02 11:01:34,48,-624,32,176
2024-01-02 11:01:34,48,-400,-16,192
2024-01-02 11:01:35,64,-240,0,32
2024-01-02 11:01:35,64,-336,-32,112
2024-01-02 11:01:35,96,-512,-48,64
2024-01-02 11:01:35,80,-368,-64,80
2024-01-02 11:01:35,128,-336,16,112
2024-01-02 11:01:35,96,-304,48,144
2024-01-02 11:01:35,96,-192,48,64
2024-01-02 11:01:35,96,-64,0,144
2024-01-02 11:01:35,96,0,-64,192
2024-01-02 11:01:35,80,-224,0,80
2024-01-02 11:01:35,48,-448,-32,48
2024-01-02 11:01:35,32,-320,-64,96
2024-01-02 11:01:35,32,-464,-112,144
2024-01-02 11:01:35,80,-992,0,80
2024-01-02 11:01:35,176,-1280,-16,-48
2024-01-02 11:01:35,16,-1152,-48,64
2024-01-02 11:01:35,-32,-784,-16,-48
2024-01-02 11:01:35,48,-192,64,-32
2024-01-02 11:01:35,112,112,64,48
2024-01-02 11:01:35,128,256,-16,112
2024-01-02 11:01:35,160,144,-48,192
2024-01-02 11:01:35,112,-80,-64,-16
2024-01-02 11:01:35,32,-384,-48,128
2024-01-02 11:01:35,48,-784,32,-64
2024-01-02 11:01:35,0,-736,-48,32
2024-01-02 11:01:35,0,-480,-112,96
2024-01-02 11:01:35,32,-240,-64,-16
2024-01-02 11:01:35,48,-160,-64,-80
2024-01-02 11:01:35,96,-176,-32,-208
2024-01-02 11:01:35,80,16,-96,-224
2024-01-02 11:01:35,96,-80,-48,-160
2024-01-02 11:01:35,96,-320,64,-272
2024-01-02 11:01:35,32,-560,-32,-48
2024-01-02 11:01:35,48,-592,32,48
2024-01-02 11:01:35,48,-576,-16,-96
2024-01-02 11:01:35,48,-592,-48,96
2024-01-02 11:01:35,48,-496,0,32
2024-01-02 11:01:35,96,-272,0,144
2024-01-02 11:01:35,48,-192,-32,0
2024-01-02 11:01:35,64,-224,-16,-48
2024-01-02 11:01:35,16,-416,-16,48
2024-01-02 11:01:35,32,-464,-16,-64
2024-01-02 11:01:35,16,-368,-16,-112
2024-01-02 11:01:35,-32,-288,16,-144
2024-01-02 11:01:35,-16,-272,-32,-160
2024-01-02 11:01:35,16,-80,-16,-112
2024-01-02 11:01:35,48,-16,16,-112
2024-01-02 11:01:35,16,32,32,-112
2024-01-02 11:01:35,0,48,-16,-176
2024-01-02 11:01:35,-80,80,-64,-64
2024-01-02 11:01:35,-64,96,-80,-128
2024-01-02 11:01:35,0,-64,0,-16
2024-01-02 11:01:35,32,-288,-64,-144
2024-01-02 11:01:35,32,-80,-80,-240
2024-01-02 11:01:35,-16,-240,-128,-96
2024-01-02 11:01:35,48,-832,0,-288
2024-01-02 11:01:35,0,-720,-96,-192
2024-01-02 11:01:36,-80,-624,0,-288
2024-01-02 11:01:36,16,-208,16,-160
2024-01-02 11:01:36,0,240,112,-256
2024-01-02 11:01:36,32,288,16,-128
2024-01-02 11:01:36,32,224,-80,-160
2024-01-02 11:01:36,32,48,-96,-128
2024-01-02 11:01:36,-16,-224,-16,-64
2024-01-02 11:01:36,-32,-352,-48,-160
2024-01-02 11:01:36,-64,-384,-96,-144
2024-01-02 11:01:36,-96,-288,-16,-128
2024-01-02 11:01:36,-80,-80,-32,-80
2024-01-02 11:01:36,32,-32,-64,-64
2024-01-02 11:01:36,0,64,48,-336
2024-01-02 11:01:36,48,48,16,-304
2024-01-02 11:01:36,32,272,-64,-272
2024-01-02 11:01:36,64,368,96,-304
