Timestamp,Channel 1,Channel 2,Channel 3,Channel 4
2024-01-03 14:57:54,1824,1904,464,1488
2024-01-03 14:57:54,1968,2320,336,2672
2024-01-03 14:57:54,1632,2512,416,3120
2024-01-03 14:57:54,1664,2400,448,2912
2024-01-03 14:57:54,1856,2336,560,2576
2024-01-03 14:57:54,2144,2224,528,2448
2024-01-03 14:57:54,2384,2272,384,2304
2024-01-03 14:57:55,1296,2160,352,2864
2024-01-03 14:57:55,1760,2112,336,2144
2024-01-03 14:57:55,2224,1936,320,1952
2024-01-03 14:57:55,2208,2016,224,2240
2024-01-03 14:57:55,2112,1968,416,2064
2024-01-03 14:57:55,1824,2000,480,1888
2024-01-03 14:57:55,1824,2160,352,1904
2024-01-03 14:57:55,2128,2016,576,1824
2024-01-03 14:57:55,2112,2000,288,1712
2024-01-03 14:57:55,2208,1952,320,2192
2024-01-03 14:57:55,2128,2112,352,2208
2024-01-03 14:57:55,2048,2064,384,2272
2024-01-03 14:57:55,1728,2224,496,2368
2024-01-03 14:57:55,1968,2336,448,2192
2024-01-03 14:57:55,2176,2240,336,2048
2024-01-03 14:57:55,2480,2128,256,2384
2024-01-03 14:57:55,2336,2048,192,2272
2024-01-03 14:57:55,2480,2096,336,2432
2024-01-03 14:57:55,2352,1888,368,2000
2024-01-03 14:57:55,2240,1984,448,2144
2024-01-03 14:57:55,2112,1952,368,1728
2024-01-03 14:57:55,1824,1904,544,1712
2024-01-03 14:57:55,1728,2032,576,1680
2024-01-03 14:57:55,1504,2144,544,1408
2024-01-03 14:57:55,1488,2208,528,1552
2024-01-03 14:57:55,1424,2224,416,1632
2024-01-03 14:57:55,1408,2096,416,1776
2024-01-03 14:57:55,1568,2192,320,1744
2024-01-03 14:57:55,1744,2352,448,2192
2024-01-03 14:57:55,2016,2176,432,2144
2024-01-03 14:57:55,2064,2176,384,2112
2024-01-03 14:57:55,2304,2176,192,2512
2024-01-03 14:57:55,2352,2176,272,2352
2024-01-03 14:57:55,2560,2144,304,2352
2024-01-03 14:57:55,2640,2144,256,2544
2024-01-03 14:57:55,2480,2096,432,2272
2024-01-03 14:57:55,2496,2112,448,2176
2024-01-03 14:57:55,2096,1872,368,2128
2024-01-03 14:57:55,2112,2080,432,2256
2024-01-03 14:57:55,1776,2048,400,1920
2024-01-03 14:57:55,1616,2160,480,2256
2024-01-03 14:57:55,1408,2048,400,1936
2024-01-03 14:57:55,1376,2208,416,1968
2024-01-03 14:57:55,1488,2080,368,1984
